venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,precip_mm,pressure_hPa
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:00,male,Bangladesh,Zimbabwe,1-10,39,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:45,male,Bangladesh,Zimbabwe,11-20,49,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,11:30,male,Bangladesh,Zimbabwe,21-30,51,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,12:15,male,Bangladesh,Zimbabwe,31-40,47,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,13:00,male,Bangladesh,Zimbabwe,41-50,85,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:00,male,Zimbabwe,Bangladesh,1-10,56,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:45,male,Zimbabwe,Bangladesh,11-20,26,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,11:30,male,Zimbabwe,Bangladesh,21-30,36,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,12:15,male,Zimbabwe,Bangladesh,31-40,51,,,NA,NA,NA,NA,NA
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,13:00,male,Zimbabwe,Bangladesh,41-50,74,,,NA,NA,NA,NA,NA
Queens Sports Club,2016-11-21,10:00,10:00,male,Zimbabwe,Sri Lanka,1-10,40,-20.1450755,28.5879876,NA,NA,NA,NA,NA
Queens Sports Club,2016-11-21,10:00,10:45,male,Zimbabwe,Sri Lanka,11-20,15,-20.1450755,28.5879876,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,10:00,female,Australia,Pakistan,1-10,36,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,10:45,female,Australia,Pakistan,11-20,40,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,11:30,female,Australia,Pakistan,21-30,61,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,12:15,female,Australia,Pakistan,31-40,65,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,13:00,female,Australia,Pakistan,41-50,71,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,10:00,female,Pakistan,Australia,1-10,42,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,10:45,female,Pakistan,Australia,11-20,34,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,11:30,female,Pakistan,Australia,21-30,23,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,12:15,female,Pakistan,Australia,31-40,24,,,NA,NA,NA,NA,NA
Kinrara Academy Oval,2018-10-20,10:00,13:00,female,Pakistan,Australia,41-50,0,,,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:00,male,Pakistan,South Africa,1-10,39,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:45,male,Pakistan,South Africa,11-20,32,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,11:30,male,Pakistan,South Africa,21-30,57,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,12:15,male,Pakistan,South Africa,31-40,42,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,13:00,male,Pakistan,South Africa,41-50,73,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:00,male,South Africa,Pakistan,1-10,62,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:45,male,South Africa,Pakistan,11-20,48,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,11:30,male,South Africa,Pakistan,21-30,47,31.4338475,73.0857949,NA,NA,NA,NA,NA
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,12:15,male,South Africa,Pakistan,31-40,38,31.4338475,73.0857949,NA,NA,NA,NA,NA
