venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:00,male,Bangladesh,Zimbabwe,1-10,39
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:45,male,Bangladesh,Zimbabwe,11-20,49
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,11:30,male,Bangladesh,Zimbabwe,21-30,51
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,12:15,male,Bangladesh,Zimbabwe,31-40,47
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,13:00,male,Bangladesh,Zimbabwe,41-50,85
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:00,male,Zimbabwe,Bangladesh,1-10,56
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,10:45,male,Zimbabwe,Bangladesh,11-20,26
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,11:30,male,Zimbabwe,Bangladesh,21-30,36
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,12:15,male,Zimbabwe,Bangladesh,31-40,51
"Shere Bangla National Stadium, Mirpur",2018-10-21,10:00,13:00,male,Zimbabwe,Bangladesh,41-50,74
Queens Sports Club,2016-11-21,10:00,10:00,male,Zimbabwe,Sri Lanka,1-10,40
Queens Sports Club,2016-11-21,10:00,10:45,male,Zimbabwe,Sri Lanka,11-20,15
Kinrara Academy Oval,2018-10-20,10:00,10:00,female,Australia,Pakistan,1-10,36
Kinrara Academy Oval,2018-10-20,10:00,10:45,female,Australia,Pakistan,11-20,40
Kinrara Academy Oval,2018-10-20,10:00,11:30,female,Australia,Pakistan,21-30,61
Kinrara Academy Oval,2018-10-20,10:00,12:15,female,Australia,Pakistan,31-40,65
Kinrara Academy Oval,2018-10-20,10:00,13:00,female,Australia,Pakistan,41-50,71
Kinrara Academy Oval,2018-10-20,10:00,10:00,female,Pakistan,Australia,1-10,42
Kinrara Academy Oval,2018-10-20,10:00,10:45,female,Pakistan,Australia,11-20,34
Kinrara Academy Oval,2018-10-20,10:00,11:30,female,Pakistan,Australia,21-30,23
Kinrara Academy Oval,2018-10-20,10:00,12:15,female,Pakistan,Australia,31-40,24
Kinrara Academy Oval,2018-10-20,10:00,13:00,female,Pakistan,Australia,41-50,0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:00,male,Pakistan,South Africa,1-10,39
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:45,male,Pakistan,South Africa,11-20,32
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,11:30,male,Pakistan,South Africa,21-30,57
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,12:15,male,Pakistan,South Africa,31-40,42
