venue,full_date,match_start_time_estimated,segment_start_time_estimated,gender,batting_team,bowling_team,over_range,total_runs,latitude,longitude,temperature_C,humidity_%,wind_speed_kmh,AQI
Queens Sports Club,2016-11-21,10:00,10:00,male,Zimbabwe,Sri Lanka,1-10,40,-20.1450755,28.5879876,25.9,58.0,5.3,61.0
Queens Sports Club,2016-11-21,10:00,10:45,male,Zimbabwe,Sri Lanka,11-20,15,-20.1450755,28.5879876,25.9,58.0,5.3,61.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:00,male,Pakistan,South Africa,1-10,39,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:45,male,Pakistan,South Africa,11-20,32,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,11:30,male,Pakistan,South Africa,21-30,57,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,12:15,male,Pakistan,South Africa,31-40,42,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,13:00,male,Pakistan,South Africa,41-50,73,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:00,male,South Africa,Pakistan,1-10,62,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,10:45,male,South Africa,Pakistan,11-20,48,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,11:30,male,South Africa,Pakistan,21-30,47,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,12:15,male,South Africa,Pakistan,31-40,38,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"Iqbal Stadium, Faisalabad",2003-10-07,10:00,13:00,male,South Africa,Pakistan,41-50,26,31.4338475,73.0857949,35.5,26.0,1.1,171.0
"National Stadium, Karachi",2025-02-19,10:00,10:00,male,New Zealand,Pakistan,1-10,48,24.8952212,67.0816725,30.5,29.0,17.1,197.0
"National Stadium, Karachi",2025-02-19,10:00,10:45,male,New Zealand,Pakistan,11-20,45,24.8952212,67.0816725,30.5,29.0,17.1,197.0
